Codigo,Título,Quantidades,Autor,Ano,Editora,Edição,ISBN,Categoria
CET33,"El bosque si tiene valor - El uso de palmeras en las comunidades campesinas e indigenas de la region de Inambari, madre d Dios, Peru ",,Narel Paningua Zambrana,2012,Graficart Srl,1° Ed.,984841547,CET
CET34,Plantas útiles del complejo cenagoso de Zapatosa,,Ana Christina Estupiñán-González,2011,CORPOCESAR,1° Ed.,-,CET
CET35,Etnobotánica de lós chácobo,,Brian Morey Boom,2010,,1° Ed.,,CET
CET36,Saberes e usos de Plantas - Legados de atividades humanas no Rio de Janeiro,,"Ariane Luna Peixoto, Inês Machline Silva",2011,Editora PUC Rio,1° Ed.,9788580060348,CET
CET37,Ensaios sobre a carnaubeira,,J. B. de M. CARVALHO,1982,EMPARN,2° Ed.,-,CET
CET38,O saber local  os recursos vegetais em Juruena Mato Grosso,,"Germano Guarim Neto, Márcia Regina Antunes Maciel",2008,Editora UFMT,1° Ed.,,CET
CET39,"Cultura, Identidade e Territorio no Nordeste indigena: Os fulni-ô",,Peter Schroder,2011,,1° Ed.,,CET
CET40,O segredo das Folhas -  Sistemas de Classificação de vegetais no Candoblé Iêje-Nago do Brasil,,José Flávio Pessoa de Barros,1993,Pallas - Editora e Distribuidora Ltda.,1° Ed.,,CET
CET41,As muitas faces da Jurema de espécies botânica à divindade afro-indigena,,"Clarice Novaes da Mota, Ulysses Paulino de Albuquerque",2002,Edições Bagaço,1° Ed.,9788574093505,CET
CET42,Resource Management in Amazonia Indigenous and Folk Strategies,,"Darrell Addison Posey, William L. Balée",1987,New York Botanical Garden,7° Ed.,-,CET
CET43,Extrativismo da Samambaia - Preta no Rio Grande do Sul,,"Gabriela Coelho de Souza, Lovois de Andrade Miguel, Rumi Regina Kubo",2008,UFRGS Editora,1° Ed.,9788538600152,CET
CET44(1/2),Los limpiadores de los cielos -  Factos y folclor de los zopilotes avs duenãs del imaginario Latioamericano,,Mauricio Vargas-Clavijo,2008,UFFS,1° Ed.,,CET
CET44(2/2),Los limpiadores de los cielos -  Factos y folclor de los zopilotes avs duenãs del imaginario Latioamericano,,,2008,UFFS,1° Ed.,,CET
CONS01(1/2),Ecologia e Conservação da Caatinga,1,Inara R. Leal; Marcelo Tabarelli; José Maria Cardoso da Silva ,2003,Ed. Universitária da UFPE,1° Ed. ,9788573152159,Conservação
CONS01(2/2),Ecologia e Conservação da Caatinga,1,Inara R. Leal; Marcelo Tabarelli; José Maria Cardoso da Silva ,2003,Ed. Universitária da UFPE,1° Ed. ,9788573152159,Conservação
CONS02,Ecologia e Conservação de Ecossistemas no Nordeste do Brasil ,1,Ana Carla Asfora El-Deir; Geraldo Jorge Barbosa de Moura; Elcida de Lima Araújo,2012,Nuppea,1° Ed. ,-,Conservação
CONS03(1/2),Agrobiodiversidade no Brasil: experiências e caminhos da pesquisa,2,Lin Chau Ming; Maria Christina de Mello Amorozo; Carolina Weber Kffuri,2010,Nuppea,1° Ed. ,9788563756077,Conservação
CONS03(2/2),Agrobiodiversidade no Brasil: experiências e caminhos da pesquisa,2,Lin Chau Ming; Maria Christina de Mello Amorozo; Carolina Weber Kffuri,2010,Nuppea,1° Ed. ,9788563756077,Conservação
CONS04,Educação Ambiental:Princípios e Práticas,1,Genabaldo Freire Dias,1992,Gaia,4° Ed. ,9788585351090,Conservação
CONS05,Etnoconservação: Novos rumos para proteção da natureza nos trópicos ,1,Antônio Carlos Diegues,2000,Hucites,1° Ed. ,9788527105477,Conservação
CONS06,Essentials of Conservation Biology ,1,Richard B. Primack ,1993,Printed in U.S.A,1° Ed. ,9781605352893,Conservação
CONS07,Conservation Forest Biodiversity: A Comprehensive Multiscales Approach,1,David B. Lindenmayer; Jerry F. Franflin,2002,Island Press,1° Ed. ,9781597268530,Conservação
CONS08,Biologia da Conservação Essências ,1,Carlos Frederico Duarte Rocha; Helena Godoy Bergalho; Monique Van Sluys; Maria Alice Santos Alves ,2006,RiMa,1° Ed. ,9788576560890,Conservação
CONS09,Biologia da Conservação ,1,Richard B. Primack; Efrain Rodrigues,2001,Vida,1° Ed. ,9788590200215,Conservação
CONS10,Estratégias para Conservação e Manejo de Recursos Genéticos de Plantas Medicinais e Aromáticas ,1,"R. F. Vieira, Suelma Ribeiro Silva ",2002,EMBRAPA,1° Ed. ,9788587697127,Conservação
CONS11,Economia do Meio Ambiente: Teoria e Prática,1,Petter H. May; Maria Cecilia Lustosa; Valéria da Vinha,2003,Elsevier,1° Ed. ,9788535237658,Conservação
CONS12,Diversidad Ecológica Y Su Medición,1,Anne E. Margurran,1989,Vedrà,1° Ed. ,9788487456008,Conservação
CONS13,Enfoques Comtemporâneos Para El Estudio de La Biodiversidad ,1,Héctor Hernádez; Alfonso N. García Aldrete; Fernando Álvarez; Miguel Ulloa ,2001,"Instituto de Biología, UNAM",1° Ed. ,9789683683052,Conservação
CONS14,Biodiversidade ,1,Edward .O. Wilson ,1997,Nova Fronteira,1° Ed. ,-,Conservação
CONS15,"O Mecanismo da Natureza: O mundo vivo à nossa volta, e como funciona",1,Paul R. Ehrlich,1993,Campus ,1° Ed. ,9788570018038,Conservação
CONS16,Community Biodiversity Management: Promoting Resilience and the Conservation of Plant Genetic Resources,1,Waltwe Simon de Boef; Abishkar Subedi; Nivaldo Peroni; Marja Thijssen And Elizabeth o. Keeff ,2013,Taylor & Francis,1° Ed. ,9781136474866,Conservação
CONS17,Uso Sustentável e Conservação dos Recursos Florestais da Caatinga ,1,Maria Auxiliadora Gariglio; Everardo Valares de Sá Barretto Sampaio; Lís Antônio Cestaro; Paulo Yoshio Kageyama,2010,Serviço Florestal Brasileiro,1° Ed. ,9788563269041,Conservação
CONS18,"Biodiversidade, Potencial Econômico e Processos Eco-Fisiológicos em Ecossitemas Nordestinos - Volume I",1,"Ariadne do Nascimento Moura; Elcida de Lima Araújo, Ulyyses Paulino de Albuquerque ",2008,Nuppea,1° Ed. ,-,Conservação
CONS19,"Biodiversidade, Potencial Econômico e Processos Eco-Fisiológicos em Ecossitemas Nordestinos -Volume II",1,"Ariadne do Nascimento Moura; Elcida de Lima Araújo, Ulyyses Paulino de Albuquerque ",2010,Nuppea,1° Ed. ,-,Conservação
CONS20,Análise das Variações da Biodiversidade do Bioma Caatinga: Suporte a Estratégias regionais de Conservação ,1,"Francisca Soares de Araújo, Maria Jesus Nogueira Rodal, Maria Regina de Vasconcellos Barbosa",2005,Ministério do Meio Ambiente,1° Ed. ,9788587166760,Conservação
CONS21,Terceiro Relatório Nacional para a Conservação Sobre Diversidade Biológica ,1,Brasil. Ministério do Meio Ambiente. Secretaria de Biodiversidade e Florestas. Diretoria do Programa Nacional de Conservação da Biodiversidade,2006,Ministério do Meio Ambiente,1° Ed. ,-,Conservação
CONS22(1/2),Diagnóstico da Biodiversidade de Pernambuco ,2,Marcelo Tabarelli; José Cardoso da Silva ,2002,"Secretaria de Ciência, Tecnologia e Meio Ambiente",1° Ed. ,9788570193834,Conservação
CONS22(2/2),Diagnóstico da Biodiversidade de Pernambuco ,2,Marcelo Tabarelli; José Cardoso da Silva ,2002,"Secretaria de Ciência, Tecnologia e Meio Ambiente",1° Ed. ,9788570193834,Conservação
CONS23,Socioambientalismo e Novos Direitos - Proteção jurídica à diversidade biológica e cultural,1,Juliana Santilli,2005,Fundação Peirópolis,1° Ed. ,9788575960400,Conservação
CONS24,Ciência Ambiental,1,G. Tyler Miller JR,2007,Thonson Learning,11° Ed. ,9788522105496,Conservação
CONS25,Biodiversidade da Caatinga: Áreas e Ações Priotárias para a Conservação ,1,José Maria Cardoso da Silva,2004,Ministério do Meio Ambiente,1° Ed. ,-,Conservação
DIVER01,Cenário para o Bioma Caatinga,1,Conselho Nacional da Reserva da Biosfera da Caatinga,2004,Conselho Nacional da Reserva da Biosfera da Caatinga,1° Ed.  ,-,Diversos
DIVER02,Fundamentos Histórico-Epistemológicos dos Paradigmas Centrais da Biologia ,1,Argus Vasconselos de Almeida,2012,Universitária UFRPE,1° Ed.  ,-,Diversos
DIVER03,Against the Grain: The Vayda Tradition in Human Ecology and Ecological Anthropology,1,"Bonnie J. McCay, Bradley B. Walters, Paige West, Susan Lees",2008,Eltamira,1° Ed.  ,9780759111721,Diversos
DIVER04,Potencial da Sabiá Como Cultura do Semiárido,1,Paulo Sérgio Lima e Silva; Poliana Coqueiro Dias; Vianney Reinald de Oliveira,2015,Edufersa,1° Ed.  ,-,Diversos
DIVER05,Tratado do Ser vivo. Vol I: O polimorfismo das Populações ,1,Jacques Ruffié ,1982,Fragmentos,1° Ed.  ,-,Diversos
DIVER06,Tratado do Ser vivo. Vol II : A verdadeira natureza do Gene,1,Jacques Ruffié ,1982,Fragmentos,1° Ed.  ,-,Diversos
DIVER07,Ecologia Humana En Una Comunidad de Morelos,1,Magali Daltabutt,1988,"Universidad Nacional Autonoma de , Instituto de Investigaciones Antropologicas",1° Ed.  ,-,Diversos
DIVER08,Drogas e Cultura: Novas Perspectivas,1,Beatriz Caiuby Labate,2008,Edufba,1° Ed.  ,9788523205041,Diversos
DIVER09,O novo mundo : História de uma polêmica (1750-1900),1,Antonello Gerbi,1996,Companhia das Letras,1° Ed.  ,9788571645578,Diversos
DIVER10,El Hongo Maravilloso: Teonanácatl micolatría en Mesoamérica,1,R. Gordon Wasson,1998,Fondo de Cultura Económica,1° Ed.  ,Fondo de Cultura Económica,Diversos
DIVER11,O Fogo de Prometeu: reflexões sobre a origem do Espirito  ,1,Charles Lumsden e Edward Wilson,1987,Gradativa,1° Ed.  ,-,Diversos
DIVER12,A Erva do Diabo,1,Carlos Castaneda,2011,Nova Era,30° Ed.  ,Círculo do Livro,Diversos
DIVER13(1/3),"""Quando pensa que não.."": Contos, Causos e Crônicas em Etnoecologia",2,Reinaldo Duque-Brasil; Gustavo Taboada Soldati; Francisco José Bezerra Souto; Nelson Leal Alencar; Lin Chau Ming; France Maria Gongtilo Coelho,2012,,1° Ed.  ,-,Diversos
DIVER13(2/3),"""Quando pensa que não.."": Contos, Causos e Crônicas em Etnoecologia",2,Reinaldo Duque-Brasil; Gustavo Taboada Soldati; Francisco José Bezerra Souto; Nelson Leal Alencar; Lin Chau Ming; France Maria Gongtilo Coelho,2012,,1° Ed.  ,-,Diversos
DIVER13(3/3),"""Quando pensa que não.."": Contos, Causos e Crônicas em Etnoecologia",2,Reinaldo Duque-Brasil; Gustavo Taboada Soldati; Francisco José Bezerra Souto; Nelson Leal Alencar; Lin Chau Ming; France Maria Gongtilo Coelho,2012,,1° Ed.  ,-,Diversos
DIVER14,The seventy great mysteries of the natural world,,Michael J Benton,2008,WW Norton,1° Ed.  ,-,Diversos
Eco01(1/1),Ecology,,Dodson,,,,,Ecologia
Eco01(2/2),Ecology,,"Robert E. Ricklefs, Gary Miller, Gary Leon Miller",1999,W. H. Freeman,4° Ed.,9780716728290,Ecologia
Eco02,"A biota da formação crato e o cretaceo da bacia do araripe, nordeste do brasil",Ecologia,Geralçdo Moura et al.,2006,Livro Rápido - Elógica,1° Ed.,-,Ecologia
Eco03,Administração e controle da qualidade ambiental,Ecologia,Granville H. Sewell,1978,E.P.U,-,,Ecologia
Eco04,Agroecologia: Processos Ecologicos em Agricultura Sustentavel,Ecologia,Stephen R. Gliessman,2005,UFRGS Editora,3º Ed.,,Ecologia
Eco05(1/2),"Áreas prioritárias para a conservação, Uso Sustentavel e Repartição de Beneficios da Biodiversidade Brasileira: Atualização - Portaria MMA N 09, de Janeiro de 2007",Ecologia,Misterio do Meio Ambiente,2007,MMA,2° Ed.,-,Ecologia
Eco05(2/2),"Áreas prioritárias para a conservação, Uso Sustentavel e Repartição de Beneficios da Biodiversidade Brasileira: Atualização - Portaria MMA N 09, de Janeiro de 2007",Ecologia,Misterio do Meio Ambiente,2007,MMA,2° Ed.,-,Ecologia
Eco06,Economia da Natureza,,Robert E. Ricklefs,1993,Guanabara-Koogan,1° Ed.,9788527707985,Ecologia
Eco07,Ecologia y Conservacion d Bosques Neotropicales,,"Manuel Ricardo Guariguata, Gustavo Kattán",2002,Libro Universitario Regional,1° Ed.,9789968801119,Ecologia
